genes	logFC	logCPM	PValue	FDR
ENSMUSG00000018893	15.5927707355657	13.7449823004367	1.30920224043714e-217	4.47891178475951e-213
ENSMUSG00000068614	16.5791665686565	13.1604471156319	1.79431710650281e-204	3.06926912652837e-200
ENSMUSG00000013936	15.0439269220988	12.3350456015121	3.47807151087931e-193	3.96627681528974e-189
ENSMUSG00000035458	12.168938510472	11.9536155633867	1.8085691179195e-175	1.5468239523286e-171
ENSMUSG00000030470	20.3153857341756	10.5898606030243	1.95939993023571e-173	1.34066062026588e-169
ENSMUSG00000040752	13.7537119236683	13.2170617817917	1.56700564701679e-163	8.93480503168191e-160
ENSMUSG00000024049	10.1432784755971	8.97244988698706	8.0890834706711e-159	3.95336620878756e-155
ENSMUSG00000039891	9.11159378661803	7.87036493041314	2.91952072338265e-152	1.24849654334555e-148
ENSMUSG00000002100	13.1079080772535	10.79421975968	4.20890378111436e-145	1.5998978583967e-141
ENSMUSG00000021622	14.1867444278507	10.5235116668215	9.95211228743928e-145	3.40471713465585e-141
ENSMUSG00000027022	10.711215842562	6.97593161579308	5.04095542957408e-143	1.48816727185592e-139
ENSMUSG00000031448	13.4914510812014	9.04171736672212	5.21996061567069e-143	1.48816727185592e-139
ENSMUSG00000041708	-15.5941029703704	5.8696641646569	2.57346027261939e-141	6.77235764512169e-138
ENSMUSG00000033981	-12.0880712601376	6.47409008785268	1.03396529509774e-140	2.5266419078992e-137
ENSMUSG00000059213	-10.2103445995659	7.98130021055889	4.74344775920671e-140	1.08185394193481e-136
ENSMUSG00000024261	-12.2526670359994	5.71197232232712	3.01846967295121e-139	6.45405412383336e-136
ENSMUSG00000027457	-10.7635114113637	6.41470002798531	5.22209356944139e-139	1.05090025355388e-135
ENSMUSG00000021071	-11.6813091854179	6.08135663598559	2.19957853535967e-137	4.1805434040661e-134
ENSMUSG00000022803	10.5659300684022	8.36478852435112	5.74781071250701e-136	1.03493869623988e-132
ENSMUSG00000040035	-10.4650900164509	5.97423978681285	1.16002561575445e-135	1.98428181702877e-132
ENSMUSG00000053550	-13.0939410040231	5.71316126138117	1.96824113196854e-135	3.20645225551314e-132
ENSMUSG00000046093	-13.1673541025043	7.57003023555363	1.87614792032416e-134	2.917495295555e-131
ENSMUSG00000030996	12.1992077119932	7.35000309237237	3.22590598791452e-134	4.79832477184972e-131
ENSMUSG00000050711	-16.4799002508892	6.75491813333087	4.8735825330476e-134	6.94708883492048e-131
ENSMUSG00000055022	-10.3791350434956	6.16269572845584	5.79797843824841e-134	7.93418561403665e-131
ENSMUSG00000061576	-10.3214060949631	5.6593732537402	1.30744511647678e-133	1.72034634153027e-130
ENSMUSG00000062444	-11.1982392827839	5.57975644610622	2.37243380041025e-133	3.00604936095685e-130
ENSMUSG00000038583	11.7481116838316	11.0952696111293	4.3954906653024e-133	5.37050468395216e-130
ENSMUSG00000085830	-11.7381607901773	6.66323247275396	5.78323358695399e-133	6.82242083597528e-130
ENSMUSG00000055254	-8.98571039325634	5.88371728303633	1.16806191236573e-132	1.3320188694648e-129
