Gene	C1_R1	C1_R2	C1_R3	C2_R1	C2_R2	C2_R3
FBgn0000003	0	0	0	0	0	0
FBgn0000008	619	620	557	531	608	548
FBgn0000014	91	81	104	87	125	102
FBgn0000015	73	67	52	55	71	73
FBgn0000017	2668	2404	2467	2550	2610	2572
FBgn0000018	328	343	363	304	288	345
FBgn0000022	0	0	0	0	0	0
FBgn0000024	37	29	52	30	37	35
FBgn0000028	42	32	28	38	46	38
FBgn0000032	833	862	824	926	842	807
FBgn0000036	2	3	2	2	4	2
FBgn0000037	46	78	46	25	42	49
FBgn0000038	0	0	0	0	0	0
FBgn0000039	0	0	0	0	0	0
FBgn0000042	51860	53274	52362	52994	51330	52195
FBgn0000043	25018	26457	26444	25609	23397	25393
FBgn0000044	183	254	195	241	221	231
FBgn0000045	29	33	27	35	20	29
FBgn0000046	621	548	606	487	523	626
FBgn0000047	19	35	49	41	43	26
FBgn0000052	3428	3428	3322	3414	3028	3364
FBgn0000053	2419	2045	2205	2356	2050	2191
FBgn0000054	815	807	912	821	734	751
FBgn0000055	3	1	0	0	4	2
FBgn0000056	0	0	0	0	0	0
FBgn0000057	551	572	605	604	568	543
FBgn0000061	0	0	0	0	0	0
FBgn0000063	243	224	223	308	214	255
FBgn0000064	4545	4777	4613	7483	7141	7437
FBgn0000071	220	202	231	218	196	190
FBgn0000075	19	27	18	27	21	19
FBgn0000077	266	238	271	231	202	227
FBgn0000078	46	39	48	30	28	16
FBgn0000079	65	84	43	60	63	40
FBgn0000083	5166	5793	5718	5079	5059	5350
FBgn0000084	1511	1472	1548	1488	1436	1438
FBgn0000092	22	15	24	17	15	30
FBgn0000094	13	12	19	13	15	17
FBgn0000097	1596	1445	1636	1382	1374	1450
FBgn0000099	0	0	0	0	0	0
FBgn0000100	35683	37034	34771	33313	35572	35013
FBgn0000108	19	30	26	25	34	31
FBgn0000109	179	164	140	151	104	135
FBgn0000114	57	44	59	52	57	61
FBgn0000115	559	633	654	548	520	514
FBgn0000116	2477	2357	2336	2237	2234	2241
FBgn0000117	10533	10604	10957	10278	10796	10418
FBgn0000119	482	391	485	370	372	412
FBgn0000120	0	0	0	0	0	0
FBgn0000121	9	12	12	9	8	7
FBgn0000137	0	0	0	0	0	0
FBgn0000139	828	805	847	785	868	842
FBgn0000140	483	526	623	490	547	486
FBgn0000146	1472	1602	1437	1532	1506	1459
FBgn0000147	332	323	436	337	312	285
FBgn0000150	11751	11381	11967	10633	10635	11705
FBgn0000152	353	296	321	278	336	301
FBgn0000153	3	3	4	6	5	3
FBgn0000157	0	0	0	0	0	0
FBgn0000158	8	7	4	8	4	8
FBgn0000163	1017	916	1033	868	979	902
FBgn0000166	40	52	39	53	49	42
FBgn0000173	818	750	722	666	785	725
FBgn0000179	0	0	0	0	0	0
FBgn0000180	14	18	10	12	18	16
FBgn0000181	10893	11208	11814	10958	10505	11259
FBgn0000182	0	0	0	1	0	1
FBgn0000183	1500	1466	1369	1656	1411	1157
FBgn0000206	0	0	0	0	0	0
FBgn0000210	2430	2413	2597	2343	2190	2207
FBgn0000212	3384	3502	3260	5708	5889	5655
FBgn0000216	0	0	0	0	0	0
FBgn0000221	267	251	237	238	237	201
FBgn0000227	0	0	0	0	0	0
FBgn0000228	1525	1411	1473	1996	2134	2066
FBgn0000229	1119	970	1113	1062	1026	976
FBgn0000233	1	0	3	3	4	2
FBgn0000239	1275	1130	1208	1288	1286	1294
FBgn0000241	36	41	44	39	44	41
FBgn0000244	581	635	656	1254	1222	1238
FBgn0000246	233	200	212	207	194	252
FBgn0000247	1607	1800	2000	1842	1696	1881
FBgn0000250	2019	1789	2057	1957	1816	1747
FBgn0000251	16	24	12	14	16	16
FBgn0000253	3006	3149	2753	2502	2613	2731
FBgn0000256	5021	4460	4595	4557	4485	4506
FBgn0000257	836	838	1066	810	802	835
FBgn0000259	1414	1477	1436	1394	1406	1371
FBgn0000261	1679	1678	1803	1461	1729	1828
FBgn0000273	978	967	907	1017	1039	946
FBgn0000274	0	0	0	0	0	0
FBgn0000276	49	48	56	53	51	44
FBgn0000277	34	22	22	28	21	21
FBgn0000278	28	43	45	37	34	33
FBgn0000279	24	10	24	13	13	20
FBgn0000280	0	0	0	0	0	0
FBgn0000281	1	0	0	1	1	1
FBgn0000283	2275	1955	2160	2044	2238	1927
FBgn0000286	633	606	542	621	555	570
FBgn0000287	0	0	0	0	0	0
FBgn0000289	5491	5421	5664	5330	5448	5545
FBgn0000299	64340	64977	63756	58200	58726	60574
FBgn0000303	18	12	16	15	14	14
FBgn0000307	1209	1065	1058	972	1076	988
FBgn0000308	7929	8364	8076	7722	7640	7410
FBgn0000316	352	335	342	354	213	288
FBgn0000317	1233	1236	1121	1183	1269	1158
FBgn0000318	971	1067	991	1059	961	1006
FBgn0000319	14345	13590	14060	13236	13118	12738
FBgn0000320	13	20	14	17	16	13
FBgn0000326	219	196	211	244	174	202
FBgn0000330	317	250	227	202	223	212
FBgn0000337	10	8	9	12	11	12
FBgn0000339	753	827	814	740	828	687
FBgn0000346	125	125	165	118	114	101
FBgn0000351	40	23	45	42	44	45
FBgn0000352	588	523	602	513	453	436
FBgn0000355	2	1	0	0	0	1
FBgn0000356	0	0	0	0	0	0
FBgn0000357	3	3	2	2	4	5
FBgn0000358	0	0	0	0	0	0
FBgn0000359	0	0	0	0	0	0
FBgn0000360	6	5	8	4	7	9
FBgn0000370	8747	8566	8824	21460	22165	21875
FBgn0000376	1567	1286	1512	1259	1259	1347
FBgn0000377	824	803	958	817	968	846
FBgn0000382	741	852	1076	810	773	686
FBgn0000384	285	230	235	211	276	235
FBgn0000392	0	0	0	0	0	0
FBgn0000394	257	267	283	252	258	271
FBgn0000395	404	448	492	462	339	402
FBgn0000404	1756	2002	1874	1921	1932	1779
FBgn0000405	2639	2512	2609	2378	2557	2529
FBgn0000406	172	196	190	174	171	192
FBgn0000409	2847	2495	2775	2424	2559	2436
FBgn0000411	0	0	0	0	0	0
FBgn0000412	2634	2845	2685	5958	6233	6438
FBgn0000413	1662	1574	1833	1541	1590	1592
FBgn0000414	1659	1446	1611	1537	1552	1508
FBgn0000416	21836	22715	21947	21915	22162	21745
FBgn0000422	11	20	24	18	20	13
FBgn0000426	516	600	618	459	515	499
FBgn0000427	0	0	0	0	0	0
FBgn0000439	0	0	0	0	0	0
FBgn0000442	0	1	0	0	0	2
FBgn0000447	634	612	595	614	524	568
FBgn0000448	0	3	1	1	2	1
FBgn0000449	0	0	0	0	0	0
FBgn0000451	19	16	18	16	14	17
FBgn0000454	3249	3611	3174	6508	6981	6165
FBgn0000455	652	759	700	669	602	763
FBgn0000459	17	24	18	14	18	16
FBgn0000463	26	28	27	33	24	21
