Gene stable ID	GO term accession
FBgn0036531	GO:0046872
FBgn0036531	GO:0005634
FBgn0036531	GO:0006351
FBgn0036531	GO:0006355
FBgn0036531	GO:0000993
FBgn0036531	GO:0006368
FBgn0036531	GO:0048096
FBgn0036531	GO:0008023
FBgn0037375	GO:0016322
FBgn0037375	GO:0000166
FBgn0037375	GO:0005524
FBgn0037375	GO:0016787
FBgn0037375	GO:0008017
FBgn0037375	GO:0050775
FBgn0037375	GO:0005737
FBgn0037375	GO:0005634
FBgn0037375	GO:0007017
FBgn0037375	GO:0005874
FBgn0037375	GO:0007049
FBgn0037375	GO:0051301
FBgn0037375	GO:0005815
FBgn0037375	GO:0005856
FBgn0037375	GO:0016887
FBgn0037375	GO:0008568
FBgn0037375	GO:0051013
FBgn0037375	GO:0000922
FBgn0037375	GO:0005813
FBgn0037375	GO:0005819
FBgn0037375	GO:0008352
FBgn0037375	GO:0005875
FBgn0035252	GO:0016020
FBgn0035252	GO:0016021
FBgn0035252	GO:0005829
FBgn0035252	GO:0005779
FBgn0028581	GO:0007143
FBgn0028581	GO:0007131
FBgn0028581	GO:0005515
FBgn0033090	GO:0003674
FBgn0033090	GO:0008150
FBgn0033090	GO:0005575
FBgn0032883	GO:0003676
FBgn0032883	GO:0000166
FBgn0032883	GO:0005524
FBgn0032883	GO:0016787
FBgn0032883	GO:0016887
FBgn0032883	GO:0005737
FBgn0032883	GO:0032508
FBgn0032883	GO:0004386
FBgn0032883	GO:0004004
FBgn0032883	GO:0006396
FBgn0032883	GO:0004003
FBgn0032883	GO:0002151
FBgn0032883	GO:0044806
FBgn0004876	GO:0016740
FBgn0004876	GO:0005737
FBgn0004876	GO:0005524
FBgn0004876	GO:0004672
FBgn0004876	GO:0006468
FBgn0004876	GO:0004674
FBgn0004876	GO:0010906
FBgn0004876	GO:0007015
FBgn0004876	GO:0001700
FBgn0004876	GO:0045873
FBgn0004876	GO:0045177
FBgn0036979	GO:0003674
FBgn0036979	GO:0008150
FBgn0036979	GO:0005575
FBgn0004783	GO:0008010
FBgn0004783	GO:0042302
FBgn0004783	GO:0040003
FBgn0004783	GO:0031012
FBgn0051253	GO:0003674
FBgn0051253	GO:0008150
FBgn0051253	GO:0005575
FBgn0034474	GO:0032504
FBgn0034474	GO:0005576
FBgn0034474	GO:0005615
FBgn0034474	GO:0005549
FBgn0034474	GO:0007606
FBgn0034474	GO:0007608
FBgn0053843	GO:0005634
FBgn0053843	GO:0003677
FBgn0053843	GO:0051276
FBgn0053843	GO:0000790
FBgn0053843	GO:0006334
FBgn0053843	GO:0000786
FBgn0053843	GO:0005694
FBgn0053843	GO:0031490
FBgn0053843	GO:0006342
FBgn0053843	GO:0005515
FBgn0053843	GO:0031057
FBgn0035085	GO:0016020
FBgn0035085	GO:0016021
FBgn0035085	GO:0007163
FBgn0035085	GO:0005918
FBgn0266174	GO:0003674
FBgn0266174	GO:0008150
FBgn0266174	GO:0005575
FBgn0263977	GO:0016020
FBgn0263977	GO:0016021
FBgn0263977	GO:0016787
FBgn0263977	GO:0005739
FBgn0263977	GO:0008566
FBgn0263977	GO:0015266
FBgn0263977	GO:0006626
FBgn0263977	GO:0030150
FBgn0263977	GO:0031305
FBgn0263977	GO:0005744
FBgn0264815	GO:0016787
FBgn0264815	GO:0046872
FBgn0264815	GO:0007165
FBgn0264815	GO:0004114
FBgn0264815	GO:0008081
FBgn0264815	GO:0032504
FBgn0264815	GO:0005615
FBgn0264815	GO:0005516
FBgn0264815	GO:0060179
FBgn0264815	GO:0004115
FBgn0264815	GO:0047555
FBgn0264815	GO:0048101
FBgn0264815	GO:0007610
FBgn0264815	GO:0046058
FBgn0264815	GO:0046068
FBgn0039485	GO:0005615
FBgn0039485	GO:0007623
FBgn0039485	GO:0032504
FBgn0046323	GO:0003674
FBgn0046323	GO:0008150
FBgn0046323	GO:0005575
FBgn0036204	GO:0016020
FBgn0036204	GO:0046872
FBgn0036204	GO:0005739
FBgn0036204	GO:0005743
FBgn0036204	GO:0015031
FBgn0036204	GO:0015450
FBgn0036204	GO:0006626
FBgn0036204	GO:0008565
FBgn0036204	GO:0045039
FBgn0036204	GO:0072321
FBgn0036204	GO:0042719
FBgn0036204	GO:0005744
FBgn0033948	GO:0003676
FBgn0033948	GO:0016740
FBgn0033948	GO:0008270
FBgn0033948	GO:0008168
FBgn0033948	GO:0032259
FBgn0035425	GO:0005829
FBgn0035425	GO:0016787
FBgn0035425	GO:0004722
FBgn0035425	GO:0006470
FBgn0035425	GO:0046872
FBgn0035425	GO:0003824
FBgn0035425	GO:0004721
FBgn0035425	GO:0043169
FBgn0050428	GO:0005634
FBgn0050428	GO:0006915
FBgn0034629	GO:0008152
FBgn0034629	GO:0016491
FBgn0034629	GO:0055114
FBgn0034629	GO:0050660
FBgn0034629	GO:0005777
FBgn0034629	GO:0006635
FBgn0034629	GO:0071949
FBgn0034629	GO:0016627
FBgn0034629	GO:0003997
FBgn0034629	GO:0006631
FBgn0034629	GO:0003995
FBgn0034629	GO:0033539
FBgn0023090	GO:0007268
FBgn0023090	GO:0070840
FBgn0023090	GO:0042995
FBgn0023090	GO:0005929
FBgn0023090	GO:0044458
FBgn0023090	GO:0060271
FBgn0023090	GO:0005930
FBgn0035444	GO:0016020
FBgn0035444	GO:0016021
FBgn0016930	GO:0000166
FBgn0016930	GO:0005524
FBgn0016930	GO:0016301
FBgn0016930	GO:0016740
FBgn0016930	GO:0016310
FBgn0016930	GO:0004672
FBgn0016930	GO:0006468
FBgn0016930	GO:0004674
FBgn0016930	GO:0007608
FBgn0016930	GO:0005737
FBgn0016930	GO:0042048
FBgn0016930	GO:0018108
FBgn0016930	GO:0004713
FBgn0016930	GO:0009416
FBgn0016930	GO:0005829
FBgn0016930	GO:0004712
FBgn0005648	GO:0005634
FBgn0005648	GO:0003676
FBgn0005648	GO:0005737
FBgn0005648	GO:0003723
FBgn0005648	GO:0003729
FBgn0005648	GO:0000398
FBgn0005648	GO:0071011
FBgn0005648	GO:0071013
FBgn0005648	GO:0005515
FBgn0005648	GO:0006378
FBgn0005648	GO:0000289
FBgn0005648	GO:0006397
FBgn0005648	GO:1904247
FBgn0005648	GO:0008143
FBgn0005648	GO:0060050
FBgn0261682	GO:0005576
FBgn0261682	GO:0008061
FBgn0261682	GO:0006030
FBgn0042213	GO:0003674
FBgn0042213	GO:0008150
